Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,nfactor ,min_bound,avg_bound,max_bound
54,781,395,45.82905114,30.29961588,6.342253521,12.22440461,38.58898848,14.96837388,66.48976843,10.02432778,387.446867,75,9.5,14.36,50,494.930142,14,0.293308437,1,0.8,9.76,21.5,0.96341175,6,35792.48894,26263.45853,62055.94747,3510,,4.494238156,749.76,5943.96,8903.4
55,804,368,48.03978549,30.5721393,6.297263682,12.24077114,38.6909204,16.36529851,62.60751429,10.13681592,387.446867,75,9.5,14.36,50.5,493.930142,14,0.596316521,1,0.8,9.76,21.5,0.2525203,6,38623.98753,23039.56526,61663.55279,4027.3,,5.009079602,1029.12,8100.8,12220.8
56,770,388,47.28658828,31.71558442,6.298311688,12.27096104,38.6525974,16.66103896,64.14155542,10.25064935,358.2674284,75,9.5,14.36,50.5,497.5458198,14,0.442084148,1,0.8,9.82,22,0.173233747,6,36410.67298,24886.9235,61297.59648,4816.5,,6.255194805,1232,9699.4,14630
57,745,423,44.6432186,31.13557047,6.336912752,12.28040268,38.76174497,15.85154362,64.154036,10.45503356,505.0752104,76,9.5,14.36,50.5,386.446867,14,0.301743695,1,0.9,9.82,21.5,0.089574166,6,33259.19786,27137.15723,60396.35508,4347.9,,5.836107383,1072.8,7553.6,11324
58,745,400,48.49539712,31.28322148,6.38442953,12.29167785,38.80268456,14.8409396,59.83003015,10.65771812,505.0752104,76,9.6,14.36,50.5,385.446867,15,0.301743695,1,0.9,9.76,21.5,0.037769596,6,36129.07085,23932.01206,60061.08291,3097.1,,4.157181208,804.6,5707.68,8582.4
59,783,371,44.66078538,31.86079183,6.369348659,12.3210728,39.46296296,14.84099617,64.25011307,10.81992337,487.9460708,76,9.6,14.36,50.5,333.7777551,15,0.301743695,1,0.9,9.76,21.5,0.402730242,6,34969.39496,23836.79195,58806.18691,3667,,4.683269476,845.64,5984.64,9020.16
60,800,347,46.02226295,31.55,6.3065,12.340275,39.606875,15.01875,62.03689372,10.9875,487.9460708,76,9.6,14.36,50.5,332.7777551,15,0.301743695,1,0.9,9.76,21.5,0.299122394,6,36817.81036,21526.80212,58344.61248,3720.1,,4.650125,864,6054.24,9216
61,777,358,45.859396,31.28957529,6.274774775,12.31760618,39.91698842,15.27503218,62.59983307,11.14285714,487.9460708,76,9.6,14.36,50.5,322.8617145,16,0.724378486,1,0.9,9.76,22,0.273923368,6,35632.75069,22410.74024,58043.49093,4469.7,,5.752509653,1118.88,7800.8,11934.72
62,790,363,44.56210572,30.98481013,6.313164557,12.2978481,39.96455696,15.45620253,61.60694507,11.33797468,368.646274,76,9.6,14.36,50.5,487.9460708,16,0.724378486,1,1,9.76,22,0.817886088,6,35204.06352,22363.32106,57567.38458,4056.9,,5.135316456,1264,7979.84,12134.4
63,793,341,45.22880281,30.73518285,6.341614124,12.3042623,40.02711223,15.20302648,62.45699564,11.49684741,368.646274,76,9.6,14.36,50.5,486.9460708,17,0.904880591,1,1,9.76,22,0.417714433,7,35866.44063,21297.83551,57164.27614,3793.4,,4.783606557,951.6,6034.68,9135.36
64,818,331,42.65465704,30.17481663,6.415158924,12.28442543,40.18276284,15.40207824,64.97380953,11.77872861,496.6318099,76,9.6,14.36,50.5,364.7188599,17,0.606314959,1,1,9.76,22,0.569970148,7,34891.50946,21506.33095,56397.84041,4117.8,,5.03398533,1308.8,8396.16,12564.48
