Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxL,maxFE,maxGen,minAE,minET,minH,minV,minL,minFE,minGen,totalAE,totalFE,totalE,totalCombat
59,285,56,5.027893606652592,6.396491228070175,2.3791228070175436,11.701333333333325,9.198596491228077,9.793280643422085,11.642105263157895,55.137902724789456,35.0,4.249999999999999,16.319999999999993,18.999999999999996,63.49937844485976,19,0.2732240756367901,1.0,0.6499999999999997,9.52,12.200000000000003,0.8257407691071421,6,1432.9496778959888,548.4237160316368,1981.3733939276256,274.7
60,272,55,5.653804688232941,6.930147058823529,2.3873161764705872,11.684117647058814,9.355330882352943,5.56296827114895,11.573529411764707,70.42970819887705,35.0,4.249999999999999,16.319999999999993,11.2,30.600795537233353,19,0.27451530305143024,1.0,0.6499999999999997,9.52,12.200000000000003,0.039274792186915874,6,1537.8348751993599,305.96325491319226,1843.7981301125521,259.95
61,260,59,4.736592585560009,6.730769230769231,2.345576923076922,11.76523076923076,9.55653846153846,8.35855414713849,11.696153846153846,55.137902724789456,35.0,4.249999999999999,16.239999999999995,19.199999999999996,70.42970819887705,19,0.2604399819111052,1.0,0.6499999999999997,9.52,12.400000000000002,0.046285091137178824,7,1231.5140722456024,493.15469468117084,1724.6687669267733,293.45
62,248,52,4.697537397008379,6.262096774193548,2.265725806451611,11.717096774193548,9.29314516129032,9.011346969008255,11.75,92.97721279115649,35.0,4.249999999999999,16.239999999999995,9.2,51.73504872713238,19,0.2604399819111052,1.0,0.6499999999999997,9.52,12.400000000000002,0.025328442788179473,8,1164.989274458078,468.59004238842925,1633.5793168465073,309.59999999999997
63,240,45,4.40311840387878,6.229166666666667,2.191041666666668,11.678833333333328,8.96395833333333,10.29735715318878,11.733333333333333,46.488606395578245,35.0,4.249999999999999,16.239999999999995,0.8000000000000007,50.73504872713238,17,0.2604399819111052,1.0,0.6499999999999997,9.52,12.400000000000002,0.29338453001025755,8,1056.7484169309073,463.3810718934951,1520.1294888244024,274.09999999999997
64,227,41,4.999250619439855,6.475770925110132,2.1594713656387676,11.520352422907491,8.718942731277531,7.205428721687196,11.766519823788546,66.58205837057903,33.0,4.249999999999999,16.239999999999995,8.400000000000002,49.73504872713238,17,0.2561220275049223,1.0,0.6499999999999997,9.52,12.600000000000001,0.2604399819111052,8,1134.829890612847,295.42257758917503,1430.252468202022,237.5
65,227,28,4.435039244026572,6.775330396475771,2.2284140969162984,11.530044052863435,8.430616740088103,11.441504351254661,11.810572687224669,33.29102918528952,33.0,4.249999999999999,16.239999999999995,7.400000000000002,48.73504872713238,17,0.2561220275049223,1.0,0.6499999999999997,9.52,12.600000000000001,0.2923956279857407,8,1006.7539083940318,320.3621218351305,1327.1160302291623,147.85
66,211,41,4.3930733979203005,7.109004739336493,2.2312796208530807,11.376492890995259,8.623696682464454,7.833883057192973,11.928909952606634,52.056232064263895,33.0,4.249999999999999,16.239999999999995,19.399999999999995,47.73504872713238,17,0.2561220275049223,1.0,0.6999999999999997,9.52,12.600000000000001,0.2720805858316453,8,926.9384869611833,321.1892053449119,1248.1276923060952,205.25
67,194,42,4.514422349886658,7.247422680412371,2.146649484536083,11.26969072164949,8.709278350515461,7.060008952394019,11.912371134020619,39.31600370866636,33.0,4.249999999999999,16.239999999999995,3.149999999999997,46.73504872713238,17,0.25402310784784277,1.0,0.6999999999999997,9.52,12.600000000000001,0.08832234332658118,8,875.7979358780116,296.52037600054877,1172.3183118785603,131.9
68,190,36,4.85977516865351,7.510526315789473,2.1823684210526313,11.280631578947373,8.664210526315792,4.818225137569467,12.042105263157895,43.86493711346793,33.0,4.249999999999999,16.239999999999995,2.149999999999997,45.73504872713238,17,0.25402310784784277,1.0,0.6999999999999997,9.52,12.600000000000001,0.3549555227828023,8,923.3572820441669,173.45610495250082,1096.8133869966678,91.3
69,188,25,4.777225403332982,7.718085106382978,2.2239361702127654,11.311276595744681,8.24122340425532,5.304598012800742,12.117021276595745,64.39305058146556,33.0,4.249999999999999,16.239999999999995,1.1499999999999968,30.31874592158684,17,0.25402310784784277,1.0,0.6999999999999997,9.52,12.600000000000001,0.08832234332658118,8,898.1183758266005,132.61495032001855,1030.733326146619,114.8
70,181,23,4.7408778253862325,7.4088397790055245,2.1961325966850826,11.405524861878458,7.988121546961326,5.361177944063606,12.259668508287293,42.53326409396732,33.0,4.249999999999999,16.159999999999997,4.4,26.028116032131948,17,0.25402310784784277,1.0,0.6999999999999997,9.52,12.600000000000001,0.3057042973138522,9,858.098886394908,123.30709271346292,981.405979108371,126.89999999999999
71,165,37,4.17052568531915,7.024242424242424,2.1578787878787877,11.366303030303033,8.101515151515148,6.2559081755690995,12.406060606060606,38.04217404819792,33.0,4.199999999999999,16.159999999999997,7.199999999999999,25.30928937974386,17,0.25402310784784277,1.0,0.6999999999999997,9.52,12.600000000000001,0.3074465026782036,9,688.1367380776599,231.4686024960567,919.6053405737166,178.2
72,146,41,4.663785993314877,7.780821917808219,2.154109589041096,11.337260273972602,8.414041095890413,4.458739302226069,12.486301369863014,38.310722872407496,33.0,4.199999999999999,16.159999999999997,6.199999999999999,24.30928937974386,17,0.25402310784784277,1.0,0.6999999999999997,9.52,12.600000000000001,0.17544169273503485,9,680.9127550239721,182.80831139126883,863.7210664152409,141.6
73,142,32,4.300804983412566,7.535211267605634,2.1035211267605636,11.319718309859153,8.523239436619718,5.929104314203645,12.654929577464788,26.82036919919483,33.0,4.199999999999999,16.159999999999997,5.0,38.48324176258757,17,0.25402310784784277,1.0,0.7499999999999998,9.52,12.600000000000001,0.22281718925540872,9,610.7143076445843,189.73133805451664,800.445645699101,101.35
74,134,21,4.711359644378818,7.388059701492537,2.0611940298507467,11.271940298507461,8.11865671641791,6.374484605126189,12.708955223880597,43.53369502390342,33.0,4.199999999999999,16.159999999999997,4.0,26.82036919919483,17,0.25402310784784277,1.0,0.7499999999999998,9.52,12.8,0.19453982788553503,9,631.3221923467615,133.86417670764996,765.1863690544114,125.1
75,129,20,4.430601059983313,7.24031007751938,2.073643410852713,11.24093023255814,8.113178294573645,7.021849195386167,12.775193798449612,26.08508957285153,31.0,4.199999999999999,16.159999999999997,3.0,33.196340208851325,17,0.25402310784784277,1.0,0.7499999999999998,9.52,12.8,0.28187626923136433,9,571.5475367378474,140.43698390772335,711.9845206455707,103.55
